epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,245.127,0.92709,0.5868,1.02701,1,0.88904,0.94762,0.6448,1.25582,0.89146,1.10814,0.0011684,0.0011684,0.0011684
44,250.946,0.93421,0.60251,1.02285,0.97549,0.90909,0.94771,0.66162,1.11417,0.7982,1.06129,0.0011486,0.0011486,0.0011486
45,256.223,0.89307,0.55117,0.9761,0.98187,0.92424,0.95497,0.68326,1.07451,0.72043,1.04529,0.0011288,0.0011288,0.0011288
46,261.647,0.87336,0.54453,1.00272,0.93619,0.88917,0.94395,0.62139,1.27288,0.62714,1.13824,0.001109,0.001109,0.001109
47,267.639,0.88467,0.55189,1.01073,0.92427,0.92463,0.97285,0.64392,1.2211,0.7175,1.12451,0.0010892,0.0010892,0.0010892
48,272.859,0.87955,0.54192,0.98836,0.95309,0.92355,0.97107,0.65085,1.20506,0.61648,1.10957,0.0010694,0.0010694,0.0010694
49,278.979,0.86002,0.55722,0.99393,0.95416,0.94622,0.97036,0.65684,1.14119,0.59736,1.07856,0.0010496,0.0010496,0.0010496
50,284.44,0.87509,0.55469,0.99984,0.96507,0.89394,0.95321,0.63649,1.21806,0.63068,1.1088,0.0010298,0.0010298,0.0010298
51,290.395,0.83864,0.51783,0.97129,0.96747,0.93939,0.97283,0.71454,0.98286,0.5561,1.01496,0.00101,0.00101,0.00101
52,295.489,0.87398,0.53159,1.0167,0.9874,0.92424,0.97094,0.61792,1.32344,0.62359,1.14516,0.0009902,0.0009902,0.0009902
53,301.161,0.84507,0.52345,0.97871,0.95366,0.9354,0.97313,0.65904,1.17396,0.65066,1.08644,0.0009704,0.0009704,0.0009704
54,307.081,0.82079,0.52036,0.9742,0.93622,0.92424,0.9599,0.65943,1.20499,0.58771,1.0994,0.0009506,0.0009506,0.0009506
55,312.505,0.8406,0.52561,0.97077,0.95236,0.87879,0.95269,0.63096,1.28407,0.63422,1.11963,0.0009308,0.0009308,0.0009308
56,318.711,0.82412,0.50922,0.99458,0.95266,0.91482,0.97007,0.65925,1.17956,0.63767,1.09489,0.000911,0.000911,0.000911
57,323.964,0.82597,0.48462,0.96322,0.94314,0.89394,0.9602,0.68311,1.12318,0.63087,1.07729,0.0008912,0.0008912,0.0008912
58,329.678,0.8148,0.49561,0.96971,0.93725,0.90534,0.9539,0.61523,1.3613,0.61495,1.18496,0.0008714,0.0008714,0.0008714
59,334.944,0.80901,0.4927,0.97927,0.96615,0.90909,0.9732,0.65384,1.20141,0.58397,1.0994,0.0008516,0.0008516,0.0008516
60,340.685,0.80565,0.48633,0.96312,0.96142,0.90909,0.95729,0.6666,1.17065,0.62314,1.08433,0.0008318,0.0008318,0.0008318
61,346.367,0.8239,0.48257,0.97114,0.96663,0.87783,0.91613,0.60714,1.28019,0.67908,1.12781,0.000812,0.000812,0.000812
62,351.558,0.79322,0.48496,0.96765,0.95936,0.89394,0.92744,0.65722,1.19091,0.63075,1.09593,0.0007922,0.0007922,0.0007922
63,357.556,0.82324,0.49649,0.97585,0.9521,0.90364,0.94503,0.60397,1.35083,0.61357,1.17405,0.0007724,0.0007724,0.0007724
64,362.968,0.77126,0.47144,0.95889,0.9487,0.90909,0.95935,0.65835,1.19549,0.61598,1.11622,0.0007526,0.0007526,0.0007526
65,368.898,0.79439,0.46629,0.95401,0.96363,0.90909,0.9498,0.66894,1.17086,0.64109,1.11367,0.0007328,0.0007328,0.0007328
66,374.131,0.76663,0.48925,0.96858,0.96359,0.90909,0.95997,0.63532,1.20152,0.57056,1.12053,0.000713,0.000713,0.000713
67,379.164,0.76868,0.47128,0.95735,0.97817,0.89394,0.97377,0.62754,1.25952,0.56112,1.14582,0.0006932,0.0006932,0.0006932
68,385.318,0.75395,0.47948,0.95802,0.92099,0.92424,0.9541,0.63089,1.28342,0.5808,1.1462,0.0006734,0.0006734,0.0006734
69,390.763,0.72695,0.45823,0.9367,0.93718,0.93939,0.97413,0.64978,1.21275,0.63589,1.09873,0.0006536,0.0006536,0.0006536
70,396.794,0.7327,0.4712,0.96383,0.96791,0.91401,0.97504,0.67084,1.18233,0.59536,1.09506,0.0006338,0.0006338,0.0006338
71,402.182,0.78675,0.4709,0.96788,0.96213,0.90909,0.97174,0.65091,1.2509,0.57739,1.11892,0.000614,0.000614,0.000614
